Текст фразы,Эмоция,Augmented
"['Как же ему повезло! Он так легко получает все, что хочет. А мне приходится бороться за каждый шаг.']",Зависть,
['Она просто сияет! У нее такая красивая кожа и волосы. Я так хочу выглядеть так же.'],Зависть,
['Неужели он уже купил новую машину? ! И так быстро! А я все еще езжу на своем стареньком авто.'],Зависть,
['Неужели у него уже есть машина?'],Зависть,
['Он всегда выглядит так стильно! Я бы тоже хотел так!'],Зависть,
['Как же она быстро продвинулась по карьерной лестнице!'],Зависть,
['Неужели она так быстро сбросила вес? ! Как же я завидую!'],Зависть,
"['Как же ему повезло! Он так легко получает все, что хочет!']",Зависть,
['Неужели ты уже получил повышение?'],Зависть,
"['Ты так быстро освоил новый язык! Я уже полгода учусь, а у меня все еще ничего не получается. Может быть, ты поделишься секретами? Как же ты так быстро все осваиваешь?']",Зависть,
"['Как же здорово! Ты уже успел купить новую машину! А у меня все еще старый хлам. И, кажется, ты еще и новую работу нашел? Как тебе это удается?']",Зависть,
"['У тебя такая потрясающая фигура! Как же ты так быстро похудела? Я пытаюсь уже несколько месяцев, но у меня ничего не получается.']",Зависть,
"['Как же тебе повезло! У тебя такая красивая квартира. Я мечтаю о таком жилье. И, кажется, у тебя такая интересная работа! Я бы очень хотела работать в такой сфере!']",Зависть,
['Как ему так повезло с работой? Всё всегда складывается в его пользу! Почему у меня так не получается?'],Зависть,
['Она снова поехала отдыхать за границу? Как ей удаётся столько путешествовать? Просто везёт на каждом шагу!'],Зависть,
"['Смотри, она уже купила новую машину! Почему у меня всё ещё старая? Как всегда, ей легко достаётся всё самое лучшее!']",Зависть,
['Он успел получить повышение? Как это возможно за такое короткое время? Почему у меня так не получается?'],Зависть,
['У него снова премия? Разве можно так легко получать награды? Я даже представить себе такого не могу!'],Зависть,
['Опять они переехали в новый дом? Как они так быстро решились на это? А я до сих пор коплю на ремонт!'],Зависть,
"['Ты видел, она купила очередное дорогое платье? Как ей удаётся столько зарабатывать? Мне до этого далеко!']",Зависть,
['Её пригласили на очередной крутой проект? Почему ей всегда выпадает удача? Она просто невероятно везучая!'],Зависть,
"['Смотри, у них уже третий отпуск за год! Как они успевают так часто отдыхать? Мне бы хоть раз так повезло!']",Зависть,
"['Ты заметил, он уже получил новый гаджет? Ему постоянно везёт на такие вещи! Когда я смогу себе позволить такое?']",Зависть,
['Ты опять купила что - то новое? У тебя всегда такие классные вещи! Почему мне никогда так не везёт?'],Зависть,
"['Как тебе удаётся столько путешествовать? Ты только вернулась, а уже планируешь новый отпуск! Почему мне не удаётся так часто выбираться?']",Зависть,
['Ты снова получила повышение? У тебя просто золотая работа! Когда мне так повезёт?'],Зависть,
['Ты снова в модной одежде? Как у тебя всегда есть на это деньги? Я даже мечтать об этом не могу!'],Зависть,
['Ты ездишь на такой красивой машине! Как тебе удаётся позволить себе всё это? Мне бы хоть раз так повезло!'],Зависть,
['Тебе удалось купить новый телефон? Ты всё время берёшь лучшие модели! Почему мне всегда приходится экономить?'],Зависть,
['Ты снова была в дорогом ресторане? У тебя все выходные как праздник! Мне бы хоть раз так побаловать себя!'],Зависть,
['Ты опять приобрела что - то для дома? У тебя уже такой стильный интерьер! Я только смотрю и мечтаю об этом.'],Зависть,
['Как тебе удалось попасть на этот крутой концерт? У тебя всегда такие интересные мероприятия! Мне даже билетов не достаётся.'],Зависть,
['Ты снова съездила за границу? У тебя в жизни одна радость за другой! Когда мне так повезёт хоть раз?'],Зависть,
"['Ты опять купила себе что - то новое, да? Как у тебя всегда так получается. Мне бы так повезло хотя бы раз.']",Зависть,
['Ты снова в отпуск собралась? Как тебе удаётся так часто отдыхать. У меня даже мысли об этом нет.'],Зависть,
"['Ты везде успеваешь поучаствовать, правда? У тебя и работа, и отдых такие интересные. Мне бы хоть немного твоей удачи.']",Зависть,
['Ты даже сейчас нашла время для спорта. Как тебе это удаётся с таким графиком. Я постоянно откладываю и не успеваю.'],Зависть,
['У тебя опять отпуск впереди? Ты всегда выбираешь интересные направления. Мне бы хоть раз так спланировать.'],Зависть,
"['У него всегда всё выходит идеально, везучий же.']",Зависть,
"['Ей и премию дали, и отпуск сразу.']",Зависть,
"['Ей подарили новый телефон, повезло же.']",Зависть,
"['У него отпуск дважды в год, неслыханная роскошь.']",Зависть,
['Она в отпуск уехала в такой роскошный отель.'],Зависть,
"['У него всегда такие стильные вещи, везёт же.']",Зависть,
"['Ты всегда получаешь всё самое лучшее, почему тебе так везёт?']",Зависть,
"['Ты и работу нашёл с отличной зарплатой, везучий же человек.']",Зависть,
"['Слушай, ты везучий – всегда отдыхаешь там, куда я мечтаю поехать.']",Зависть,
"['Как так получается, что у тебя постоянно всё складывается идеально?']",Зависть,
['Тебе легко дали кредит на такую машину? Мне бы так повезло!'],Зависть,
"['Снова ты выиграл в этом конкурсе, вот бы мне хоть раз так.']",Зависть,
"['У тебя всегда выходят лучшие фотографии, у меня даже близко так не выходит.']",Зависть,
"['Ты и новую технику купил себе так быстро, просто завидую.']",Зависть,
"['Ты всегда находишь время на поездки за границу. Как тебе удаётся так много путешествовать? Я всё никак не соберусь, столько дел всегда. Вот бы и мне так повезло.']",Зависть,
"['Кажется, у тебя вечно всё идёт по плану. Почему у меня всё выходит через раз? Ты с лёгкостью успеваешь всё сделать вовремя. Мне бы тоже так уметь.']",Зависть,
['У тебя опять получилось идеально приготовить этот торт. Сколько раз я пыталась — и всё не так. Почему у тебя всегда выходит так вкусно? Очень завидую твоим кулинарным способностям.'],Зависть,
['Тебе так легко удаётся добиваться результатов. Как ты находишь на всё время и силы? Мне только мечтать о таком. Даже немного завидую тебе.'],Зависть,
['Где ты вообще находишь такие выгодные предложения? Мне бы тоже хотелось такую находку сделать. Ты настоящий профессионал в этом деле.'],Зависть,
['Как ты умудряешься ездить в такие красивые места? Я мечтаю хотя бы на пару дней выбраться. У тебя так легко это выходит. Вот бы и мне так повезло.'],Зависть,
"['Тебе всегда удаётся за короткий срок достигнуть цели. У меня на это уходит вечность. Ты просто находишь выход из любых ситуаций. Жаль, мне такое не под силу.']",Зависть,
['Ты везде успеваешь. Как тебе удаётся так планировать день? У меня всё не так. Вот бы так же.'],Зависть,
['Каждый отпуск ты проводишь за границей. Это ведь так здорово! Я только мечтать могу об этом.'],Зависть,
['Ты опять сдал проект первым. Тебе всегда удаётся быстро работать. Я так не успеваю. Сколько бы ни старался.'],Зависть,
['У тебя всегда лучшее оборудование. Я тоже хочу себе такой ноутбук. Но пока не могу позволить.'],Зависть,
['Ты умеешь находить интересные книги. Я постоянно читаю одно и то же. Твои находки — это что - то. Как бы мне тоже так научиться.'],Зависть,
"['Ты снова купил себе новую машину. Сразу видно, что удача на твоей стороне. Я об этом только мечтаю.']",Зависть,
"['Постоянно ездит на отдых, как ему везёт.']",Зависть,
['Опять ей достались лучшие проекты на работе.'],Зависть,
