Текст фразы,Эмоция
предел почему всё снова свалиться это просто нечестно,Сочувствие
ты удаваться ещё держаться всё вокруг назло обидно,Сочувствие
столько выдержать почему именно такой трудность просто укладываться голова,Сочувствие
это очень болезненно слышать справляться это весь такой просто невозможно выдержать,Сочувствие
правда стараться солнышко это обидно получаться почему оценить твой старание,Сочувствие
неужели снова порваться игрушка её любить такой мочь случиться,Сочувствие
ты страшно один сцена это непросто понимать ты тяжело,Сочувствие
весь вечер делать урок это столько время почему задать,Сочувствие
весь день ждать бедненький ты наверное скучно простить долго,Сочувствие
почему сломаться машинка твой любимый давать попробовать её починить,Сочувствие
наверное очень тяжело это переживать жаль обернуться хотеться найти поддержка,Сочувствие
столько сила вложить это результат оказаться другой очень сочувствовать знать ещё помочь,Сочувствие
такой испытание это справляться очень жаль мочь подумать всё выйти,Сочувствие
наверное чувствовать подавить жаль случиться никто смочь поддержать её,Сочувствие
сколько пережить год ещё это очень грустно всё навалиться,Сочувствие
слишком многое она свалиться сразу жаль должный всё это тянуть один это несправедливый,Сочувствие
произойти заслуживать спокойствие проблема жаль всё,Сочувствие
стараться всё получиться идеально такой разочарование очень жаль выйти,Сочувствие
расстроить изз это её вино обидно она это несправедливый,Сочувствие
усилие результат оказаться такой какой ожидать бедняга жаль достаться столько испытание,Сочувствие
наверное очень тяжело всё это время понимать это изматывать постараться помочь справиться,Сочувствие
жаль прийтись это пройти давать подумать улучшить ваш самочувствие,Сочувствие
жаль симптом отступать быть работать это вместе,Сочувствие
бояться ваш состояние требовать внимание предполагать понимать тяжело оставить один,Сочувствие
столько сила вложить лечение очень сочувствовать продолжить искать эффективный метод,Сочувствие
наверное непросто такой объём задача жалко попасть такой ситуация,Сочувствие
стараться из сила сложно видеть усилие замечать,Сочувствие
грустно дать шанс повышение заслужить это упорный труд,Сочувствие
печально её проект отменить столько месяц работа столько вложить,Сочувствие
трудиться это задание неделя поблагодарить это очень ранить,Сочувствие
обидно её заслуга остаться незамеченный действительно вложить туда душа,Сочувствие
очень грустно слышать весь ваш отдел попасть сокращение,Сочувствие
неприятно ваш идея отклонить столько обсуждение доработка,Сочувствие
ужасно мочь поехать экскурсия класс хотеть,Сочувствие
знать искренне жаль такой неприятный ситуация,Сочувствие
неприятно оказаться ситуация рядом нужно,Сочувствие
простить ты приходиться это проходить пусть всё наладиться скорее,Сочувствие
жаль оказаться наличный давать посмотреть возможность оплатить карта,Сочувствие
ужасно смочь найти нужный товар понимать расстроить давать вместе посмотреть чтонибыть похожий,Сочувствие
жаль ваш заказ дойти вовремя это действительно неудобно очень неприятно подводить срок понимать постараться сделать всё это исправить,Сочувствие
грустно слышать качество товар оправдать ваш ожидание это действительно разочаровывать особенно ждать хороший сообщить склад проверить,Сочувствие
очень жаль размер оказаться неудобный это неприятно постараться подобрать чтоть подойти переживать найти отличный вариант,Сочувствие
сочувствовать наслать нужный товар это разочаровывать возможно мочь поискать чтоть похожий нужно подсказать привезти,Сочувствие
жаль это слышать это обидно держаться,Сочувствие
понимать ты тяжело сочувствовать всё наладиться правда,Сочувствие
повезти это неприятно очень ты сочувствовать,Сочувствие
жаль получиться это несправедливый обязательно справиться,Сочувствие
обидно такой вещь случаться это тяжело пережить держаться рядом,Сочувствие
обидно такой вещь происходить держаться правда,Сочувствие
бедный человек наверное тяжело,Сочувствие
нелегко жаль всё выйти,Сочувствие
грустно слышать переживать трудность казаться всё идти хотеться,Сочувствие
понимать чувствовать одиноко это тяжело жаль период,Сочувствие
понимать очень грустно видеть страдать жизнь бывать слишком тяжёлый хотеть поддержать,Сочувствие
знать всё это тяжело печально видеть бороться этот чувство,Сочувствие
больно видеть переживать изз ситуация это действительно просто хотеть знать рядом,Сочувствие
рассказывать свой переживание становиться грустно жизнь несправедливый это очень тяжело,Сочувствие
слышать твой проблема печально знать стараться жизнь просто давать мы шанс,Сочувствие
тяжело слышать находить радость жизнь складываться мечтать это очень больно,Сочувствие
понимать чувствовать потерянный очень жаль тяжёлый момент вокруг,Сочувствие
чувствовать твой печаль это очень печально слово мочь выразить переживать,Сочувствие
сегодня получить отличный новость идти план рада этот,Радость
наконецтый выходной расслабиться отдохнуть работа ждать,Радость
коллега сделать проект вовремя это приятно чувствовать счастливый,Радость
позвонить старый друг обсудить старый время здорово снова пообщаться,Радость
получиться добиться успех задача мочь гордиться себя,Радость
удивительно насколько всё продвинуться последний время действительно справляться,Радость
казаться наслать способ улучшить результат это реально работать команда многое добиться,Радость
наконецтый удаться всё завершить отличный новость,Радость
это действительно классно каждый день всё,Радость
наконецтый получить результат который стыдно молодец,Радость
радовать никто выбиться графика мочь сосредоточиться следующий этап,Радость
отлично понравиться спасибо организовать вечер,Радость
получить уведомление банк счёт пополниться неожиданный бонус мелочь приятно,Радость
наконецтый наслать идеальный место отпуск предвкушать быть гулять красивый улочка наслаждаться местный кухня,Радость
встреча клиент сегодня получить масса положительный отзыв такой чувство наш работа приносить настоящий польза человек,Радость
сегодня тренировка получиться добиться новый результат это непросто гордиться себя чувствовать становиться сильный,Радость
вчера удивительный день коллега работа организовать небольшой праздник знать столько человек ценить мой работа,Радость
празднование день рождение пройти просто великолепно друг подготовить сюрприз ожидать столько внимание подарок,Радость
сегодня получиться завершить рабочий задача вовремя удаться провести время семья продуктивный приятный день,Радость
наконецтый одобрить кредит новый квартира рад смочь обустроить свой вкус создать уютный уголок семья,Радость
сегодня удаться завершить проект ранний срок коллега поздравить отличный результат чувствовать невероятно довольный,Радость
получить сообщение старое друг приехать наш город неделя рад смочь встретиться столько год,Радость
заявка грант одобрить волноваться изз решение наконецтый смочь реализовать задумать,Радость
вчера прийти заказ интернетмагазин всё подойти идеально качество отличный приятно ожидание оправдываться,Радость
университет сегодня вывесить результат экзамен балл оказаться выше ожидать сразу почувствовать облегчение,Радость
получить подтверждение бронирование отель отпуск расположить прямо море хотеть ждать поездка нетерпение,Радость
работа сегодня объявить бонус прошлый квартал вклад оценить это приятно смочь позволить небольшой радость,Радость
сегодня утром узнать статья принять публикация это неожиданно невероятно приятно результат мотивировать дальнейший работа,Радость
зайти любимый пекарня скидка весь ассортимент купить любимый десерт удовольствие пожалуй день удаться,Радость
вчера концерт любимый группа звук потрясать атмосфера невероятный это вечер который точно запомнить надолго,Радость
сегодня лекция литература обсуждать произведение почувствовать наш идея совпадать это вдохновлять делиться мысль друг,Радость
получить отличный новость выбрать стажировка компания который мечтать реальный шанс проявить узнать чтоть новый,Радость
выходной собираться пикник друг это замечательный продумать взять себя нетерпение ждать событие,Радость
